outcome,stage,model,attempts,input_tokens,cached_tokens,output_tokens,estimated_usd,unknown_usage_attempts,uncached_input_tokens,input_usd_per_million,cached_usd_per_million,output_usd_per_million
accepted,final_audit,accounts/fireworks/models/glm-5p3-flash,200,433520,0,16499,0.07327749999999998,0,433520,0.15,0.03,0.5
accepted,generate,accounts/fireworks/models/deepseek-v4-flash-0731,200,423835,0,35281,0.11652916000000003,0,423835,0.22,0.007,0.66
accepted,independent_answer,accounts/fireworks/models/glm-5p3-flash,200,373054,0,14548,0.06323210000000003,0,373054,0.15,0.03,0.5
accepted,no_context,accounts/fireworks/models/deepseek-v4-flash-0731,200,19151,88,1610,0.005257075999999994,0,19063,0.22,0.007,0.66
accepted,no_context,accounts/fireworks/models/glm-5p3-flash,200,16140,0,2558,0.003700000000000001,0,16140,0.15,0.03,0.5
accepted,quality_audit,accounts/fireworks/models/glm-5p3-flash,200,490922,0,42578,0.09492730000000002,0,490922,0.15,0.03,0.5
accepted,single_call_ablation,accounts/fireworks/models/glm-5p3-flash,200,255597,0,19620,0.04814955000000001,0,255597,0.15,0.03,0.5
accepted,specificity,accounts/fireworks/models/glm-5p3-flash,200,2450878,0,22343,0.37880319999999984,0,2450878,0.15,0.03,0.5
rejected,final_audit,accounts/fireworks/models/glm-5p3-flash,4,7477,0,761,0.00150205,0,7477,0.15,0.03,0.5
rejected,generate,accounts/fireworks/models/deepseek-v4-flash-0731,56,142430,0,11834,0.039145040000000006,0,142430,0.22,0.007,0.66
rejected,independent_answer,accounts/fireworks/models/glm-5p3-flash,26,55943,0,2278,0.009530450000000001,0,55943,0.15,0.03,0.5
rejected,no_context,accounts/fireworks/models/deepseek-v4-flash-0731,26,2531,0,209,0.00069476,0,2531,0.22,0.007,0.66
rejected,no_context,accounts/fireworks/models/glm-5p3-flash,26,2136,0,426,0.0005334,0,2136,0.15,0.03,0.5
rejected,quality_audit,accounts/fireworks/models/glm-5p3-flash,26,74577,0,8829,0.01560105,0,74577,0.15,0.03,0.5
rejected,single_call_ablation,accounts/fireworks/models/glm-5p3-flash,38,48922,0,3966,0.0093213,0,48922,0.15,0.03,0.5
rejected,specificity,accounts/fireworks/models/glm-5p3-flash,13,163383,0,2457,0.025735950000000004,0,163383,0.15,0.03,0.5
